timetweet,isitweet,favcount,retwcount,id,name
2022-09-20 12:21:02,"b'@wiragaksableng @iya_althaf Hahahaha.. Sdkit pi lg ini sy ku pensiunkan Twitter ku \xf0\x9f\xa4\xa3. Ada tommi Afi panacea, tdk habis2 tompa anne Sambo. Sy butuh hiburan sprti Opposite atau Bjorka hahah'",0,0,1572199152418975746,InginBebas6
2022-09-20 12:20:48,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572199092926943232,Daaan_Daaann
2022-09-20 12:20:18,b'RT @MMargani5: Akibat GONJANG-GANJING Kasus Sambo &amp; Bjorka dll nya maka..\nAda yg \xf0\x9f\x91\x87\xf0\x9f\xa7\x90\xf0\x9f\x91\x87TERLUPAKAN\xe2\x9d\x97\n\nKasus dugaan korupsi PT Duta Palma Group d\xe2\x80\xa6',0,463,1572198968284839938,Tju_Lee
2022-09-20 12:20:09,"b'RT @HalimTeuku: Kata Bjorka bong: ""Saya Hacker mau beli Akun Tele kamu, bisa ? ""\n\nKan ketauan tololnya  bohongnya plisi siber.\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82'",0,2,1572198930104078339,6undul0h
2022-09-20 12:19:51,b'RT @rekomendasihitz: pastel outfit idea \xf0\x9f\x8c\x88\n\n\xe2\x80\x94thread\n\nadam levine reza arap senyap bergerak cepat skz for street man fighter behati rehan ada\xe2\x80\xa6',0,79,1572198853146968064,lonjwinkiyowoo
2022-09-20 12:19:46,"b'Saya bertanya-tanya, apakah #Bjorka hanya musuh pemerintah Indonesia untuk cybernya? Lalu, kok data\xc2\xb2 rahasia negara hanya soal data pemerintah saat ini saja dan data WNI. Lalu, data rahasia negara tahun bahulanya mana? Saya jadi berpikir\xc2\xb2, jgn\xc2\xb2 si #Bjorka ini hanya hacker kaleng.'",0,0,1572198835140825089,devy_rahawarin
2022-09-20 12:19:05,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198661626691586,asyur77
2022-09-20 12:18:35,"b'RT @NESVERLAND: ini gatau kasus sambo sama bjorka ketinggalan, wah gila si, 2022 setelah pandemi panjang malah banyak sinetron'",0,98,1572198534321152002,abzdchkl
2022-09-20 12:18:24,"b'RT @NESVERLAND: ini gatau kasus sambo sama bjorka ketinggalan, wah gila si, 2022 setelah pandemi panjang malah banyak sinetron'",0,98,1572198489672810498,senandungtawa
2022-09-20 12:18:14,"b'@ismailfahmi Kalau inget bjorka inget kasus woo young woo soal kebocoran data, masalahnya ini pemerintahnya yang kecolongan masa denda diri sendiri \xf0\x9f\x98\x85'",0,0,1572198445867499521,BurgerBacot
2022-09-20 12:18:06,b'RT @rekomendasihitz: pastel outfit idea \xf0\x9f\x8c\x88\n\n\xe2\x80\x94thread\n\nadam levine reza arap senyap bergerak cepat skz for street man fighter behati rehan ada\xe2\x80\xa6',0,79,1572198415295197185,YUKJAJANSOPI
2022-09-20 12:17:50,b'RT @MMargani5: Akibat GONJANG-GANJING Kasus Sambo &amp; Bjorka dll nya maka..\nAda yg \xf0\x9f\x91\x87\xf0\x9f\xa7\x90\xf0\x9f\x91\x87TERLUPAKAN\xe2\x9d\x97\n\nKasus dugaan korupsi PT Duta Palma Group d\xe2\x80\xa6',0,463,1572198346022088704,AmdBadarudin
2022-09-20 12:17:50,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198344436613123,prmspx
2022-09-20 12:17:49,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198341123133440,febsepuluh
2022-09-20 12:17:47,"b'RT @NESVERLAND: ini gatau kasus sambo sama bjorka ketinggalan, wah gila si, 2022 setelah pandemi panjang malah banyak sinetron'",0,98,1572198332738736129,alllhaitham
2022-09-20 12:17:44,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198321741242375,bethonpunx
2022-09-20 12:17:29,b'RT @temponewsroom: Bjorka Lokal\n\nKartun: Yuyun Nurrachman\n\n#MajalahTempo #KartunMajalahTempo https://t.co/gFqNgRxOrF',0,60,1572198257748758528,athdimsfdhr
2022-09-20 12:17:28,b'RT @TretanMuslim: Itu yg membongkar kasus Natalie dan Afi lebih baik ikutan nyari Bjorka. Sepertinya kinerjanya meyakinkan',0,2069,1572198252728188928,itsgyouri
2022-09-20 12:17:14,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198193735290881,blckveela
2022-09-20 12:16:47,b'RT @jayakabajay: Bjorka dalam usahanya untuk ngehack sekaligus menghilangkan jejak\xe2\x80\xa6 https://t.co/EYm3LzQvkU',0,419,1572198083416694784,farisrmdd
2022-09-20 12:16:40,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572198054996094977,managerdanbam
2022-09-20 12:16:32,b'RT @seukabelanja: \xf0\x9f\x96\x87\xef\xb8\x8f Rekomendasi 3D fake nails \n\n- A thread\n\nT. Selasa \xe2\x80\xa2 seulgi \xe2\x80\xa2 iOS 16 \xe2\x80\xa2 Bjorka \xe2\x80\xa2 Ariel \xe2\x80\xa2 keren no gimmick \xe2\x80\xa2 #GalaxyA03s\xe2\x80\xa6',0,115,1572198019541663744,gnurpiyani
2022-09-20 12:16:28,b'@LutfiHidayatR Menurut netizen fans intelejen bin dan bjorka gitu',0,0,1572198003028676609,rasaraba
2022-09-20 12:16:27,b'RT @detikcom: Nikita Mirzani lancarkan serangan ke Bjorka. Ia mengancam akan membongkar identitas sang hacker!  https://t.co/hl62zooixa',0,72,1572197996955324418,Sudono04
2022-09-20 12:16:13,b'RT @kilapunya: Kaos Oversize Cocok Untuk Sehari-hari \n\n\xe2\xad\x904.7\n1. https://t.co/mPBSASGVTD\n2. https://t.co/vBskjTjmGO\n3. https://t.co/11S1I3g8k\xe2\x80\xa6',0,66,1572197939812143107,gnurpiyani
2022-09-20 12:16:08,b'@Persija_Jkt Akunnya sempet dipegang Bjorka ya min\xf0\x9f\xa4\xa3',0,0,1572197917049630727,mhmmadaditya28
2022-09-20 12:15:57,"b'RT @liputan6dotcom: Hacker Bjorka akhirnya kembali muncul. Dalam kanal Telegram miliknya, Bjorka menegaskan ia sedang mempersiapkan kejutan\xe2\x80\xa6'",0,4,1572197870887108608,ComRamdani
2022-09-20 12:15:41,"b'UU PDP produk  DPR Krn Faktor #bjorka. Asumsi hukum yg ngawur lah. Misalkan ada Hacker yg lebih hebat dari bjorka. Kalian bikin UU lagi gitu?\n\nDari pada capek bikin produk kaleng-kaleng, lebih baik perkuat keamanan cyber security.'",0,0,1572197806194200577,wan_almawardi7
2022-09-20 12:15:39,b'RT @seukabelanja: \xf0\x9f\x96\x87\xef\xb8\x8f Rekomendasi vest\n\n- A thread \n\nT. Zendaya \xe2\x80\xa2 Fikri \xe2\x80\xa2 Bjorka \xe2\x80\xa2 iOS 16 \xe2\x80\xa2 MASIH PAGI \xe2\x80\xa2 Konser \xe2\x80\xa2 Hyunjae \xe2\x80\xa2 sabrina \xe2\x80\xa2 seokji\xe2\x80\xa6',0,126,1572197797767811075,gnurpiyani
2022-09-20 12:15:31,b'RT @anjares90: @Teguh_pionelit @ImamTho35730905 bjorka geng sambo cs buat lucu2an pengalihan ehh ttp aja ptdh sambo si bintang 2 backing ma\xe2\x80\xa6',0,1,1572197761419988992,ImamTho35730905
2022-09-20 12:15:28,b'RT @rekomendasihitz: pastel outfit idea \xf0\x9f\x8c\x88\n\n\xe2\x80\x94thread\n\nadam levine reza arap senyap bergerak cepat skz for street man fighter behati rehan ada\xe2\x80\xa6',0,79,1572197750447706115,byccisya_
2022-09-20 12:15:23,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572197730570899456,daviuddin
2022-09-20 12:15:21,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572197719837646850,a666vs
2022-09-20 12:15:20,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572197715421044736,Adeswan_
2022-09-20 12:15:02,"b'RT @ismailfahmi: Ndak gini juga cara mainnya om.\n\nDi Eropa, di Singapore, dll yang dituntut kalau ada kebocoran data ya controller dan/atau\xe2\x80\xa6'",0,1596,1572197643715244032,sianjinghitam
2022-09-20 12:14:57,b'@detikcom Dia lebih hebat dr pak polisi ya ternyata..udah tau identitasnya bjorka',0,0,1572197619090477057,Yee_Elghazi
2022-09-20 12:14:53,b'RT @rekomendasihitz: pastel outfit idea \xf0\x9f\x8c\x88\n\n\xe2\x80\x94thread\n\nadam levine reza arap senyap bergerak cepat skz for street man fighter behati rehan ada\xe2\x80\xa6',0,79,1572197604259401728,littlenumbuggy
2022-09-20 12:14:52,"b""PANAS! Ternyata ini Mobil Favorit yang Sering Dinaiki Putri Candrawathi dan Kuat Maruf? Cek Faktanya\n#queensfuneral\n#sismo\n#AllegriOut\n#NMIXX\n#RRRForOscars\n#ferdysambo\n#ferdisambo\nPutri Candrawathi\nKuat Ma'ruf\n#BrigadirYosua\n#Bjorka\n#Otomotif\nhttps://t.co/tEwlPzhsDx""",0,0,1572197600669093894,PoKodotcom
